"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filtering is not available for the Form widget","10507","Filtering test","","Fri Mar 28 18:54:33 UTC 2025","passed","Fri Mar 28 18:54:44 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","filtration"
"Getting the field color is not available","8271","A test to get the field color value in Hex format","","Fri Mar 28 19:19:54 UTC 2025","passed","Fri Mar 28 19:20:02 UTC 2025","","Form. Checking the basic functions for the Hint in the widget Form","application.Samples.Form.HintOnFormTest","color"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10840","Required Message validation test for multiple fields","","Fri Mar 28 19:03:45 UTC 2025","passed","Fri Mar 28 19:03:56 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","fieldLevelValidation"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","9943","Run-time exception validation test","","Fri Mar 28 18:54:02 UTC 2025","passed","Fri Mar 28 18:54:12 UTC 2025","","Form. Checking the basic functions for the DateTimeWithSeconds in the widget Form","application.Samples.Form.DateTimeWithSecondsOnFormTest","runtimeException"
"The test checks the status of one option, whether it is selected or not","10633","A test to check the status of one option","","Fri Mar 28 19:29:43 UTC 2025","passed","Fri Mar 28 19:29:53 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","statusOption"
"The test deletes the value by checking the autocomplete in a blank field","11705","Auto-completion test after cleaning","","Fri Mar 28 19:04:19 UTC 2025","passed","Fri Mar 28 19:04:30 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","nullable"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10475","Required Message validation test for one field","","Fri Mar 28 18:57:10 UTC 2025","passed","Fri Mar 28 18:57:20 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","fieldLevelValidationAnnotation"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10470","Required Message validation test for multiple fields","","Fri Mar 28 19:29:21 UTC 2025","passed","Fri Mar 28 19:29:31 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","fieldLevelValidation"
"Sorting is not available for InfoWidget.","8163","Sorting test","","Fri Mar 28 19:46:07 UTC 2025","passed","Fri Mar 28 19:46:15 UTC 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","sorting"
"The InfoWidget doesn't have a Placeholder.","10015","Test for getting the Placeholder value","","Fri Mar 28 19:49:06 UTC 2025","passed","Fri Mar 28 19:49:16 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","placeholder"
"The test sets the value in the field, and then checks the value in the field with what should be set","11217","A test for setting a value in a field","","Fri Mar 28 18:55:29 UTC 2025","passed","Fri Mar 28 18:55:40 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","edit"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","9650","Required Message validation test for multiple fields","","Fri Mar 28 19:16:34 UTC 2025","passed","Fri Mar 28 19:16:43 UTC 2025","","Form. Checking the basic functions for the Input in the widget Form","application.Samples.Form.InputOnFormTest","fieldLevelValidation"
"Info Widget is always read-only","10137","A test to check the field for ""Read-only""","","Fri Mar 28 19:48:36 UTC 2025","passed","Fri Mar 28 19:48:46 UTC 2025","","Info. Checking the basic functions for the CheckBox","application.Samples.Info.CheckboxOnInfoTest","readonly"
"Checking the url before the transition and after the transition/click on a special element","8959","The DrillDown test","","Fri Mar 28 19:02:09 UTC 2025","passed","Fri Mar 28 19:02:18 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","drillDown"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10997","A test to get the field color value in Hex format","","Fri Mar 28 19:00:21 UTC 2025","passed","Fri Mar 28 19:00:32 UTC 2025","","Form. Checking the basic functions for the Dictionary in the widget Form","application.Samples.Form.DictionaryOnFormTest","color"
"DrillDown is not available for InfoWidget.","7901","The DrillDown test","","Fri Mar 28 19:34:20 UTC 2025","passed","Fri Mar 28 19:34:28 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","drillDown"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","10178","Confirmation Popup Validation Test","","Fri Mar 28 19:18:46 UTC 2025","passed","Fri Mar 28 19:18:57 UTC 2025","","Form. Checking the basic functions for the FileUpload in the widget Form","application.Samples.Form.FileUploadOnFormTest","confirm"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","10873","A test to get the field color value in Hex format","","Fri Mar 28 19:13:31 UTC 2025","passed","Fri Mar 28 19:13:42 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","color"
"","8612","The test for getting the value from the field","","Fri Mar 28 19:52:39 UTC 2025","passed","Fri Mar 28 19:52:48 UTC 2025","","Info. Checking the basic functions for the Number","application.Samples.Info.NumberOnInfoTest","read"
"Filtering is not available for the Form widget","10872","Filtering test","","Fri Mar 28 19:12:20 UTC 2025","passed","Fri Mar 28 19:12:31 UTC 2025","","Form. Checking the basic functions for the InlinePickList in the widget Form","application.Samples.Form.InlinePickListOnFormTest","filtration"
"Filtering is not available for the Form widget","8320","Filtering test","","Fri Mar 28 19:07:19 UTC 2025","passed","Fri Mar 28 19:07:27 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","filtration"
"Filtering is not available for InfoWidget.","8709","Filtering test","","Fri Mar 28 19:47:22 UTC 2025","passed","Fri Mar 28 19:47:31 UTC 2025","","Info. Checking the basic functions for the Money","application.Samples.Info.MoneyOnInfoTest","filtration"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","8569","A test to get the field color value in Hex format","","Fri Mar 28 18:57:49 UTC 2025","passed","Fri Mar 28 18:57:58 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","color"
"The test gets the value from the placeholder attribute and returns it in String format","10608","Test for getting the Placeholder value","","Fri Mar 28 19:06:16 UTC 2025","passed","Fri Mar 28 19:06:26 UTC 2025","","Form. Checking the basic functions for the Percent in the widget Form","application.Samples.Form.PercentOnFormTest","placeholder"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","11204","Confirmation Popup Validation Test","","Fri Mar 28 19:28:48 UTC 2025","passed","Fri Mar 28 19:28:59 UTC 2025","","Form. Checking the basic functions for the MultipleSelect in the widget Form","application.Samples.Form.MultipleSelectOnFormTest","confirm"
"Filtering is not available for the Form widget","8304","Filtering test","","Fri Mar 28 18:56:53 UTC 2025","passed","Fri Mar 28 18:57:02 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","filtration"
"The test sets the value in the field. After approval, by clicking on the save button, the popup window, the title, the text in it, and the buttons are validated","12014","Confirmation Popup Validation Test","","Fri Mar 28 18:56:01 UTC 2025","passed","Fri Mar 28 18:56:13 UTC 2025","","Form. Checking the basic functions for the Text in the widget Form","application.Samples.Form.TextOnFormTest","confirm"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9105","A test to get the field color value in Hex format","","Fri Mar 28 19:03:17 UTC 2025","passed","Fri Mar 28 19:03:26 UTC 2025","","Form. Checking the basic functions for the Money in the widget Form","application.Samples.Form.MoneyOnFormTest","color"
"The test gets the value from the style attribute in RGB format, and then converts it to Hex format","9745","A test to get the field color value in Hex format","","Fri Mar 28 19:45:47 UTC 2025","passed","Fri Mar 28 19:45:57 UTC 2025","","Info. Checking the basic functions for the Text","application.Samples.Info.TextOnInfoTest","color"
"The test sets the value in the field via Popup using the name, and then checks the value in the field with what should be set","10124","A test for setting a value in a field","","Fri Mar 28 19:20:21 UTC 2025","passed","Fri Mar 28 19:20:31 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","edit_2"
"The test sets a value with the wrong data type in several fields for different widgets. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","11429","Required Message validation test for multiple fields","","Fri Mar 28 19:31:50 UTC 2025","passed","Fri Mar 28 19:32:01 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","fieldLevelValidation"
"Checking the url before the transition and after the transition/click on a special element","10218","The DrillDown test","","Fri Mar 28 19:30:04 UTC 2025","passed","Fri Mar 28 19:30:14 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","drillDown"
"The test sets the value with the wrong data type in the field. After approval, it checks the text under the field, which informs about the correctness of the type of data entered","10187","Required Message validation test for one field","","Fri Mar 28 19:07:46 UTC 2025","passed","Fri Mar 28 19:07:56 UTC 2025","","Form. Checking the basic functions for the Date in the widget Form","application.Samples.Form.DateOnFormTest","fieldLevelValidationAnnotation"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10258","Business Exception Validation Test","","Fri Mar 28 19:20:50 UTC 2025","passed","Fri Mar 28 19:21:01 UTC 2025","","Form. Checking the basic functions for the PickList in the widget Form","application.Samples.Form.PickListOnFormTest","businessException"
"DrillDown is not available for InfoWidget.","9558","The DrillDown test","","Fri Mar 28 19:42:46 UTC 2025","passed","Fri Mar 28 19:42:56 UTC 2025","","Info. Checking the basic functions for the MultiValueHover","application.Samples.Info.MultiValueHoverOnInfoTest","drillDown"
"The test sets all the values in the field, then checks the list with the expected value.","17703","Test to set all values in the field","","Fri Mar 28 19:26:05 UTC 2025","passed","Fri Mar 28 19:26:23 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","test_set_all"
"The test sets the value in the field. After approval, the popup window, the title, the text in it, and the buttons are validated","10013","Business Exception Validation Test","","Fri Mar 28 18:57:29 UTC 2025","passed","Fri Mar 28 18:57:39 UTC 2025","","Form. Checking the basic functions for the DateTime in the widget Form","application.Samples.Form.DateTimeOnFormTest","businessException"
"","7775","The test for getting the value from the field","","Fri Mar 28 19:34:43 UTC 2025","passed","Fri Mar 28 19:34:51 UTC 2025","","Info. Checking the basic functions for the Input","application.Samples.Info.InputOnInfoTest","read"
"The test calls a modal window, after which the method returns Status-Value pairs depending on the column header.","24296","A test for checking values by column heading in a modal window","","Fri Mar 28 19:24:51 UTC 2025","passed","Fri Mar 28 19:25:15 UTC 2025","","Form. Checking the basic functions for the MultiValue in the widget Form","application.Samples.Form.MultiValueOnFormTest","test_status"
"","8322","The test for getting the value from the field","","Fri Mar 28 19:38:40 UTC 2025","passed","Fri Mar 28 19:38:48 UTC 2025","","Info. Checking the basic functions for the DateTimeWithSeconds","application.Samples.Info.DateTimeWithSecondsOnInfoTest","read"
"The test checks for the disabled attribute","10270","A test to check the field for ""Read-only""","","Fri Mar 28 19:30:24 UTC 2025","passed","Fri Mar 28 19:30:34 UTC 2025","","Form. Checking the basic functions for the CheckBox","application.Samples.Form.CheckBoxOnFormTest","readonly"
"Filtering is not available for InfoWidget.","8112","Filtering test","","Fri Mar 28 19:46:23 UTC 2025","passed","Fri Mar 28 19:46:31 UTC 2025","","Info. Checking the basic functions for the Date","application.Samples.Info.DateOnInfoTest","filtration"
